	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:37:18	3	3	1	2.0
120	2018-07-21 15:37:17	3	3	4	3.5
119	2018-07-21 15:37:16	3	3	4	3.5
118	2018-07-21 15:37:16	3	3	4	3.5
117	2018-07-21 15:37:15	3	3	4	3.5
116	2018-07-21 15:37:15	3	3	4	3.5
115	2018-07-21 15:37:14	3	0	1	0.5
114	2018-07-21 15:37:14	3	3	4	3.5
113	2018-07-21 15:37:13	3	3	4	3.5
112	2018-07-21 15:37:13	3	3	4	3.5
111	2018-07-21 15:37:12	3	3	3	3.0
110	2018-07-21 15:37:11	3	3	4	3.5
109	2018-07-21 15:37:11	3	3	3	3.0
108	2018-07-21 15:37:10	3	3	4	3.5
107	2018-07-21 15:37:10	3	3	4	3.5
106	2018-07-21 15:37:09	3	3	4	3.5
105	2018-07-21 15:37:08	3	3	1	2.0
104	2018-07-21 15:37:08	3	3	4	3.5
103	2018-07-21 15:37:07	3	3	4	3.5
102	2018-07-21 15:37:07	3	3	4	3.5
101	2018-07-21 15:37:06	3	0	1	0.5
100	2018-07-21 15:37:06	3	3	4	3.5
99	2018-07-21 15:37:05	3	3	4	3.5
98	2018-07-21 15:37:04	3	3	4	3.5
97	2018-07-21 15:37:04	3	3	4	3.5
96	2018-07-21 15:37:03	3	3	3	3.0
95	2018-07-21 15:37:03	3	1	4	2.5
94	2018-07-21 15:37:02	3	3	4	3.5
93	2018-07-21 15:37:02	3	3	4	3.5
92	2018-07-21 15:37:01	3	3	4	3.5
91	2018-07-21 15:37:00	3	3	4	3.5
90	2018-07-21 15:37:00	3	3	4	3.5
89	2018-07-21 15:36:59	3	3	4	3.5
88	2018-07-21 15:36:59	3	3	4	3.5
87	2018-07-21 15:36:58	3	3	4	3.5
86	2018-07-21 15:36:57	3	3	4	3.5
85	2018-07-21 15:36:57	3	3	4	3.5
84	2018-07-21 15:36:56	3	3	4	3.5
83	2018-07-21 15:36:56	3	3	4	3.5
82	2018-07-21 15:36:55	3	3	4	3.5
81	2018-07-21 15:36:54	3	3	3	3.0
80	2018-07-21 15:36:54	3	3	4	3.5
79	2018-07-21 15:36:53	3	3	4	3.5
78	2018-07-21 15:36:53	3	3	4	3.5
77	2018-07-21 15:36:52	3	3	4	3.5
76	2018-07-21 15:36:51	3	3	4	3.5
75	2018-07-21 15:36:51	3	3	4	3.5
74	2018-07-21 15:36:50	3	3	4	3.5
73	2018-07-21 15:36:50	3	3	4	3.5
72	2018-07-21 15:36:49	3	3	4	3.5
71	2018-07-21 15:36:48	3	3	4	3.5
70	2018-07-21 15:36:48	3	3	4	3.5
69	2018-07-21 15:36:47	3	3	4	3.5
68	2018-07-21 15:36:47	3	3	4	3.5
67	2018-07-21 15:36:46	3	3	4	3.5
66	2018-07-21 15:36:45	3	3	4	3.5
65	2018-07-21 15:36:45	3	0	4	2.0
64	2018-07-21 15:36:44	3	3	4	3.5
63	2018-07-21 15:36:44	3	3	4	3.5
62	2018-07-21 15:36:43	3	3	4	3.5
61	2018-07-21 15:36:42	3	3	4	3.5
60	2018-07-21 15:36:42	3	3	4	3.5
59	2018-07-21 15:36:43	3	3	4	3.5
58	2018-07-21 15:36:43	3	3	4	3.5
57	2018-07-21 15:36:44	3	3	4	3.5
56	2018-07-21 15:36:44	3	3	4	3.5
55	2018-07-21 15:36:45	3	3	4	3.5
54	2018-07-21 15:36:46	3	3	4	3.5
53	2018-07-21 15:36:46	3	3	4	3.5
52	2018-07-21 15:36:47	3	3	3	3.0
51	2018-07-21 15:36:47	3	3	4	3.5
50	2018-07-21 15:36:48	3	3	4	3.5
49	2018-07-21 15:36:49	3	3	4	3.5
48	2018-07-21 15:36:49	3	3	4	3.5
47	2018-07-21 15:36:50	3	3	4	3.5
46	2018-07-21 15:36:50	3	3	4	3.5
45	2018-07-21 15:36:51	3	3	4	3.5
44	2018-07-21 15:36:52	3	3	4	3.5
43	2018-07-21 15:36:52	3	3	4	3.5
42	2018-07-21 15:36:53	3	3	4	3.5
41	2018-07-21 15:36:53	3	3	4	3.5
40	2018-07-21 15:36:54	3	3	4	3.5
39	2018-07-21 15:36:55	3	3	4	3.5
38	2018-07-21 15:36:55	3	3	4	3.5
37	2018-07-21 15:36:56	3	3	4	3.5
36	2018-07-21 15:36:56	3	3	4	3.5
35	2018-07-21 15:36:57	3	3	4	3.5
34	2018-07-21 15:36:58	3	3	4	3.5
33	2018-07-21 15:36:58	3	3	4	3.5
32	2018-07-21 15:36:59	3	3	4	3.5
31	2018-07-21 15:36:59	3	3	4	3.5
30	2018-07-21 15:37:00	3	3	4	3.5
29	2018-07-21 15:37:01	3	3	1	2.0
28	2018-07-21 15:37:01	3	3	4	3.5
27	2018-07-21 15:37:02	3	3	4	3.5
26	2018-07-21 15:37:02	3	3	4	3.5
25	2018-07-21 15:37:03	3	0	0	0.0
24	2018-07-21 15:37:04	3	3	4	3.5
23	2018-07-21 15:37:04	3	3	4	3.5
22	2018-07-21 15:37:05	3	3	4	3.5
21	2018-07-21 15:37:05	3	3	4	3.5
20	2018-07-21 15:37:06	3	3	4	3.5
19	2018-07-21 15:37:06	3	3	4	3.5
18	2018-07-21 15:37:07	3	0	2	1.0
17	2018-07-21 15:37:08	3	3	4	3.5
16	2018-07-21 15:37:08	3	0	4	2.0
15	2018-07-21 15:37:09	3	3	4	3.5
14	2018-07-21 15:37:09	3	3	4	3.5
13	2018-07-21 15:37:10	3	3	4	3.5
12	2018-07-21 15:37:10	3	1	3	2.0
11	2018-07-21 15:37:11	3	3	4	3.5
10	2018-07-21 15:37:12	3	3	4	3.5
9	2018-07-21 15:37:12	3	3	4	3.5
8	2018-07-21 15:37:13	3	3	4	3.5
7	2018-07-21 15:37:13	3	3	4	3.5
6	2018-07-21 15:37:14	3	3	4	3.5
5	2018-07-21 15:37:15	3	3	4	3.5
4	2018-07-21 15:37:15	3	0	0	0.0
3	2018-07-21 15:37:16	3	3	4	3.5
2	2018-07-21 15:37:16	3	3	4	3.5
1	2018-07-21 15:37:17	3	3	4	3.5
0	2018-07-21 15:37:17	3	3	4	3.5
