	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:29:52	1	0	1	0.5
120	2018-07-21 15:29:52	1	3	2	2.5
119	2018-07-21 15:29:51	1	3	4	3.5
118	2018-07-21 15:29:50	1	3	2	2.5
117	2018-07-21 15:29:50	1	3	4	3.5
116	2018-07-21 15:29:49	1	3	2	2.5
115	2018-07-21 15:29:48	1	3	4	3.5
114	2018-07-21 15:29:47	1	3	2	2.5
113	2018-07-21 15:29:47	1	3	2	2.5
112	2018-07-21 15:29:46	1	3	4	3.5
111	2018-07-21 15:29:45	1	4	4	4.0
110	2018-07-21 15:29:45	1	3	2	2.5
109	2018-07-21 15:29:44	1	3	4	3.5
108	2018-07-21 15:29:44	1	2	4	3.0
107	2018-07-21 15:29:43	1	3	4	3.5
106	2018-07-21 15:29:42	1	3	2	2.5
105	2018-07-21 15:29:42	1	0	0	0.0
104	2018-07-21 15:29:41	1	3	2	2.5
103	2018-07-21 15:29:41	1	3	4	3.5
102	2018-07-21 15:29:40	1	3	4	3.5
101	2018-07-21 15:29:39	1	3	4	3.5
100	2018-07-21 15:29:39	1	3	4	3.5
99	2018-07-21 15:29:38	1	1	2	1.5
98	2018-07-21 15:29:37	1	3	4	3.5
97	2018-07-21 15:29:37	1	3	4	3.5
96	2018-07-21 15:29:36	1	3	4	3.5
95	2018-07-21 15:29:36	1	3	4	3.5
94	2018-07-21 15:29:35	1	2	4	3.0
93	2018-07-21 15:29:34	1	3	4	3.5
92	2018-07-21 15:29:34	1	2	4	3.0
91	2018-07-21 15:29:33	1	3	2	2.5
90	2018-07-21 15:29:32	1	2	4	3.0
89	2018-07-21 15:29:32	1	3	2	2.5
88	2018-07-21 15:29:31	1	3	4	3.5
87	2018-07-21 15:29:31	1	3	2	2.5
86	2018-07-21 15:29:30	1	3	2	2.5
85	2018-07-21 15:29:29	1	3	2	2.5
84	2018-07-21 15:29:29	1	3	2	2.5
83	2018-07-21 15:29:28	1	3	2	2.5
82	2018-07-21 15:29:28	1	3	4	3.5
81	2018-07-21 15:29:27	1	2	4	3.0
80	2018-07-21 15:29:26	1	2	4	3.0
79	2018-07-21 15:29:26	1	3	2	2.5
78	2018-07-21 15:29:25	1	2	4	3.0
77	2018-07-21 15:29:24	1	3	2	2.5
76	2018-07-21 15:29:24	1	3	2	2.5
75	2018-07-21 15:29:23	1	3	2	2.5
74	2018-07-21 15:29:23	1	3	2	2.5
73	2018-07-21 15:29:22	1	3	2	2.5
72	2018-07-21 15:29:21	1	3	4	3.5
71	2018-07-21 15:29:20	1	2	4	3.0
70	2018-07-21 15:29:19	1	0	1	0.5
69	2018-07-21 15:29:19	1	3	2	2.5
68	2018-07-21 15:29:18	1	3	4	3.5
67	2018-07-21 15:29:17	1	3	2	2.5
66	2018-07-21 15:29:17	1	2	4	3.0
65	2018-07-21 15:29:16	1	3	4	3.5
64	2018-07-21 15:29:16	1	3	4	3.5
63	2018-07-21 15:29:15	1	3	4	3.5
62	2018-07-21 15:29:14	1	3	4	3.5
61	2018-07-21 15:29:14	1	3	2	2.5
60	2018-07-21 15:29:13	1	2	2	2.0
59	2018-07-21 15:29:14	1	3	2	2.5
58	2018-07-21 15:29:15	1	3	4	3.5
57	2018-07-21 15:29:15	1	3	2	2.5
56	2018-07-21 15:29:16	1	3	4	3.5
55	2018-07-21 15:29:17	1	3	2	2.5
54	2018-07-21 15:29:17	1	3	4	3.5
53	2018-07-21 15:29:18	1	0	1	0.5
52	2018-07-21 15:29:18	1	3	0	1.5
51	2018-07-21 15:29:19	1	3	2	2.5
50	2018-07-21 15:29:20	1	3	2	2.5
49	2018-07-21 15:29:21	1	3	4	3.5
48	2018-07-21 15:29:21	1	3	2	2.5
47	2018-07-21 15:29:22	1	3	2	2.5
46	2018-07-21 15:29:23	1	3	2	2.5
45	2018-07-21 15:29:24	1	2	4	3.0
44	2018-07-21 15:29:24	1	3	2	2.5
43	2018-07-21 15:29:25	1	3	4	3.5
42	2018-07-21 15:29:25	1	3	4	3.5
41	2018-07-21 15:29:26	1	2	4	3.0
40	2018-07-21 15:29:27	1	3	4	3.5
39	2018-07-21 15:29:27	1	3	2	2.5
38	2018-07-21 15:29:28	1	3	2	2.5
37	2018-07-21 15:29:28	1	3	3	3.0
36	2018-07-21 15:29:29	1	3	4	3.5
35	2018-07-21 15:29:30	1	3	2	2.5
34	2018-07-21 15:29:30	1	3	2	2.5
33	2018-07-21 15:29:31	1	2	2	2.0
32	2018-07-21 15:29:31	1	0	0	0.0
31	2018-07-21 15:29:32	1	3	4	3.5
30	2018-07-21 15:29:33	1	3	2	2.5
29	2018-07-21 15:29:33	1	3	2	2.5
28	2018-07-21 15:29:34	1	3	2	2.5
27	2018-07-21 15:29:35	1	4	2	3.0
26	2018-07-21 15:29:35	1	3	4	3.5
25	2018-07-21 15:29:36	1	0	1	0.5
24	2018-07-21 15:29:36	1	3	2	2.5
23	2018-07-21 15:29:37	1	3	4	3.5
22	2018-07-21 15:29:38	1	2	2	2.0
21	2018-07-21 15:29:38	1	3	4	3.5
20	2018-07-21 15:29:39	1	3	4	3.5
19	2018-07-21 15:29:39	1	3	2	2.5
18	2018-07-21 15:29:40	1	3	4	3.5
17	2018-07-21 15:29:41	1	3	2	2.5
16	2018-07-21 15:29:41	1	2	2	2.0
15	2018-07-21 15:29:42	1	3	2	2.5
14	2018-07-21 15:29:43	1	3	4	3.5
13	2018-07-21 15:29:43	1	3	2	2.5
12	2018-07-21 15:29:44	1	3	2	2.5
11	2018-07-21 15:29:44	1	0	1	0.5
10	2018-07-21 15:29:45	1	3	4	3.5
9	2018-07-21 15:29:46	1	3	2	2.5
8	2018-07-21 15:29:46	1	3	2	2.5
7	2018-07-21 15:29:47	1	3	4	3.5
6	2018-07-21 15:29:48	1	3	2	2.5
5	2018-07-21 15:29:49	1	3	4	3.5
4	2018-07-21 15:29:49	1	3	4	3.5
3	2018-07-21 15:29:50	1	3	2	2.5
2	2018-07-21 15:29:51	1	3	4	3.5
1	2018-07-21 15:29:51	1	2	2	2.0
0	2018-07-21 15:29:52	1	3	2	2.5
