	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:32:30	0	0	1	0.5
120	2018-07-21 15:32:30	0	4	3	3.5
119	2018-07-21 15:32:29	0	3	4	3.5
118	2018-07-21 15:32:29	0	2	4	3.0
117	2018-07-21 15:32:28	0	0	3	1.5
116	2018-07-21 15:32:28	0	0	3	1.5
115	2018-07-21 15:32:27	0	0	1	0.5
114	2018-07-21 15:32:27	0	4	3	3.5
113	2018-07-21 15:32:26	0	0	4	2.0
112	2018-07-21 15:32:25	0	3	4	3.5
111	2018-07-21 15:32:25	0	3	2	2.5
110	2018-07-21 15:32:24	0	0	3	1.5
109	2018-07-21 15:32:24	0	3	4	3.5
108	2018-07-21 15:32:23	0	3	2	2.5
107	2018-07-21 15:32:22	0	0	4	2.0
106	2018-07-21 15:32:22	0	0	3	1.5
105	2018-07-21 15:32:21	0	0	1	0.5
104	2018-07-21 15:32:21	0	0	3	1.5
103	2018-07-21 15:32:20	0	0	4	2.0
102	2018-07-21 15:32:19	0	3	4	3.5
101	2018-07-21 15:32:19	0	3	4	3.5
100	2018-07-21 15:32:18	0	0	4	2.0
99	2018-07-21 15:32:18	0	0	4	2.0
98	2018-07-21 15:32:17	0	2	4	3.0
97	2018-07-21 15:32:16	0	3	4	3.5
96	2018-07-21 15:32:16	0	3	4	3.5
95	2018-07-21 15:32:15	0	3	4	3.5
94	2018-07-21 15:32:15	0	3	4	3.5
93	2018-07-21 15:32:14	0	2	4	3.0
92	2018-07-21 15:32:13	0	2	4	3.0
91	2018-07-21 15:32:13	0	0	4	2.0
90	2018-07-21 15:32:12	0	3	4	3.5
89	2018-07-21 15:32:11	0	3	1	2.0
88	2018-07-21 15:32:11	0	0	0	0.0
87	2018-07-21 15:32:10	0	0	3	1.5
86	2018-07-21 15:32:10	0	0	4	2.0
85	2018-07-21 15:32:09	0	0	3	1.5
84	2018-07-21 15:32:08	0	2	4	3.0
83	2018-07-21 15:32:08	0	0	4	2.0
82	2018-07-21 15:32:07	0	3	4	3.5
81	2018-07-21 15:32:06	0	3	4	3.5
80	2018-07-21 15:32:06	0	0	3	1.5
79	2018-07-21 15:32:05	0	3	4	3.5
78	2018-07-21 15:32:04	0	4	3	3.5
77	2018-07-21 15:32:04	0	2	4	3.0
76	2018-07-21 15:32:03	0	0	3	1.5
75	2018-07-21 15:32:02	0	2	4	3.0
74	2018-07-21 15:32:02	0	3	4	3.5
73	2018-07-21 15:32:01	0	2	4	3.0
72	2018-07-21 15:32:00	0	0	4	2.0
71	2018-07-21 15:32:00	0	3	4	3.5
70	2018-07-21 15:31:59	0	0	0	0.0
69	2018-07-21 15:31:59	0	3	4	3.5
68	2018-07-21 15:31:58	0	0	4	2.0
67	2018-07-21 15:31:57	0	0	3	1.5
66	2018-07-21 15:31:57	0	0	3	1.5
