	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:27:35	0	3	4	3.5
100	2018-07-21 17:27:32	0	3	4	3.5
99	2018-07-21 17:27:29	0	3	4	3.5
98	2018-07-21 17:27:26	0	3	4	3.5
97	2018-07-21 17:27:23	0	3	4	3.5
96	2018-07-21 17:27:20	0	3	4	3.5
95	2018-07-21 17:27:18	0	3	4	3.5
94	2018-07-21 17:27:15	0	3	4	3.5
93	2018-07-21 17:27:12	0	3	4	3.5
92	2018-07-21 17:27:09	0	3	4	3.5
91	2018-07-21 17:27:07	0	3	4	3.5
90	2018-07-21 17:27:04	0	3	4	3.5
89	2018-07-21 17:27:01	0	3	4	3.5
88	2018-07-21 17:26:58	0	3	4	3.5
87	2018-07-21 17:26:55	0	3	4	3.5
86	2018-07-21 17:26:52	0	3	4	3.5
85	2018-07-21 17:26:50	0	3	4	3.5
84	2018-07-21 17:26:47	0	3	4	3.5
83	2018-07-21 17:26:44	0	3	4	3.5
82	2018-07-21 17:26:41	0	3	4	3.5
81	2018-07-21 17:26:38	0	3	4	3.5
80	2018-07-21 17:26:36	0	3	4	3.5
79	2018-07-21 17:26:33	0	3	4	3.5
78	2018-07-21 17:26:30	0	3	4	3.5
77	2018-07-21 17:26:27	0	3	4	3.5
76	2018-07-21 17:26:24	0	3	4	3.5
75	2018-07-21 17:26:22	0	3	4	3.5
74	2018-07-21 17:26:19	0	3	4	3.5
73	2018-07-21 17:26:16	0	3	4	3.5
72	2018-07-21 17:26:13	0	3	4	3.5
71	2018-07-21 17:26:10	0	3	4	3.5
70	2018-07-21 17:26:08	0	3	4	3.5
69	2018-07-21 17:26:05	0	3	4	3.5
68	2018-07-21 17:26:02	0	3	4	3.5
67	2018-07-21 17:25:59	0	3	4	3.5
66	2018-07-21 17:25:56	0	3	4	3.5
65	2018-07-21 17:25:53	0	3	4	3.5
64	2018-07-21 17:25:51	0	3	4	3.5
63	2018-07-21 17:25:48	0	3	4	3.5
62	2018-07-21 17:25:45	0	3	4	3.5
61	2018-07-21 17:25:42	0	3	4	3.5
60	2018-07-21 17:25:39	0	3	4	3.5
59	2018-07-21 17:25:37	0	3	3	3.0
58	2018-07-21 17:25:34	0	3	4	3.5
57	2018-07-21 17:25:31	0	3	3	3.0
56	2018-07-21 17:25:28	0	3	3	3.0
55	2018-07-21 17:25:25	0	3	4	3.5
54	2018-07-21 17:25:23	0	3	4	3.5
53	2018-07-21 17:25:20	0	3	3	3.0
52	2018-07-21 17:25:18	0	3	3	3.0
51	2018-07-21 17:25:15	0	3	4	3.5
50	2018-07-21 17:25:14	0	3	4	3.5
49	2018-07-21 17:25:16	0	0	0	0.0
48	2018-07-21 17:25:19	0	0	0	0.0
47	2018-07-21 17:25:22	0	0	1	0.5
46	2018-07-21 17:25:24	0	0	1	0.5
45	2018-07-21 17:25:27	0	3	4	3.5
44	2018-07-21 17:25:30	0	3	4	3.5
43	2018-07-21 17:25:32	0	3	4	3.5
42	2018-07-21 17:25:35	0	3	4	3.5
41	2018-07-21 17:25:38	0	3	3	3.0
40	2018-07-21 17:25:41	0	3	4	3.5
39	2018-07-21 17:25:44	0	3	4	3.5
38	2018-07-21 17:25:46	0	3	4	3.5
37	2018-07-21 17:25:49	0	3	4	3.5
36	2018-07-21 17:25:52	0	3	4	3.5
35	2018-07-21 17:25:55	0	3	4	3.5
34	2018-07-21 17:25:58	0	3	4	3.5
33	2018-07-21 17:26:01	0	3	4	3.5
32	2018-07-21 17:26:03	0	3	4	3.5
31	2018-07-21 17:26:06	0	3	4	3.5
30	2018-07-21 17:26:09	0	3	4	3.5
29	2018-07-21 17:26:12	0	3	4	3.5
28	2018-07-21 17:26:14	0	3	4	3.5
27	2018-07-21 17:26:17	0	3	4	3.5
26	2018-07-21 17:26:20	0	3	4	3.5
25	2018-07-21 17:26:23	0	3	4	3.5
24	2018-07-21 17:26:26	0	3	4	3.5
23	2018-07-21 17:26:29	0	3	4	3.5
22	2018-07-21 17:26:31	0	3	4	3.5
21	2018-07-21 17:26:34	0	3	4	3.5
20	2018-07-21 17:26:37	0	3	4	3.5
19	2018-07-21 17:26:40	0	3	4	3.5
18	2018-07-21 17:26:43	0	3	4	3.5
17	2018-07-21 17:26:45	0	3	4	3.5
16	2018-07-21 17:26:48	0	3	4	3.5
15	2018-07-21 17:26:51	0	3	4	3.5
14	2018-07-21 17:26:54	0	3	4	3.5
13	2018-07-21 17:26:57	0	3	4	3.5
12	2018-07-21 17:27:00	0	3	4	3.5
11	2018-07-21 17:27:02	0	3	4	3.5
10	2018-07-21 17:27:05	0	3	4	3.5
9	2018-07-21 17:27:08	0	3	4	3.5
8	2018-07-21 17:27:11	0	3	4	3.5
7	2018-07-21 17:27:14	0	3	4	3.5
6	2018-07-21 17:27:16	0	3	4	3.5
5	2018-07-21 17:27:19	0	3	4	3.5
4	2018-07-21 17:27:22	0	3	4	3.5
3	2018-07-21 17:27:25	0	3	4	3.5
2	2018-07-21 17:27:28	0	3	4	3.5
1	2018-07-21 17:27:30	0	3	4	3.5
0	2018-07-21 17:27:33	0	3	4	3.5
