	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:19:36	0	3	4	3.5
100	2018-07-21 17:19:33	0	3	4	3.5
99	2018-07-21 17:19:30	0	3	4	3.5
98	2018-07-21 17:19:28	0	3	4	3.5
97	2018-07-21 17:19:25	0	3	4	3.5
96	2018-07-21 17:19:22	0	3	4	3.5
95	2018-07-21 17:19:19	0	3	4	3.5
94	2018-07-21 17:19:17	0	3	4	3.5
93	2018-07-21 17:19:14	0	3	4	3.5
92	2018-07-21 17:19:11	0	3	4	3.5
91	2018-07-21 17:19:08	0	3	4	3.5
90	2018-07-21 17:19:06	0	3	4	3.5
89	2018-07-21 17:19:03	0	3	4	3.5
88	2018-07-21 17:19:00	0	3	4	3.5
87	2018-07-21 17:18:57	0	3	4	3.5
86	2018-07-21 17:18:55	0	3	4	3.5
85	2018-07-21 17:18:52	0	3	4	3.5
84	2018-07-21 17:18:49	0	3	4	3.5
83	2018-07-21 17:18:46	0	3	4	3.5
82	2018-07-21 17:18:44	0	3	4	3.5
81	2018-07-21 17:18:41	0	3	4	3.5
80	2018-07-21 17:18:38	0	3	4	3.5
79	2018-07-21 17:18:35	0	3	4	3.5
78	2018-07-21 17:18:33	0	3	4	3.5
77	2018-07-21 17:18:30	0	3	4	3.5
76	2018-07-21 17:18:27	0	3	4	3.5
75	2018-07-21 17:18:24	0	3	4	3.5
74	2018-07-21 17:18:22	0	3	4	3.5
73	2018-07-21 17:18:19	0	3	4	3.5
72	2018-07-21 17:18:16	0	3	4	3.5
71	2018-07-21 17:18:13	0	3	4	3.5
70	2018-07-21 17:18:11	0	3	4	3.5
69	2018-07-21 17:18:08	0	3	4	3.5
68	2018-07-21 17:18:05	0	3	4	3.5
67	2018-07-21 17:18:02	0	3	4	3.5
66	2018-07-21 17:18:00	0	3	4	3.5
65	2018-07-21 17:17:57	0	4	0	2.0
64	2018-07-21 17:17:54	0	0	3	1.5
63	2018-07-21 17:17:51	0	3	4	3.5
62	2018-07-21 17:17:48	0	3	4	3.5
61	2018-07-21 17:17:46	0	3	4	3.5
60	2018-07-21 17:17:43	0	3	4	3.5
59	2018-07-21 17:17:40	0	3	4	3.5
58	2018-07-21 17:17:37	0	3	4	3.5
57	2018-07-21 17:17:34	0	3	4	3.5
56	2018-07-21 17:17:32	0	3	4	3.5
55	2018-07-21 17:17:29	0	0	1	0.5
54	2018-07-21 17:17:26	0	3	4	3.5
53	2018-07-21 17:17:24	0	3	4	3.5
52	2018-07-21 17:17:21	0	0	3	1.5
51	2018-07-21 17:17:19	0	0	1	0.5
50	2018-07-21 17:17:17	0	0	1	0.5
49	2018-07-21 17:17:20	0	3	4	3.5
48	2018-07-21 17:17:22	0	0	0	0.0
47	2018-07-21 17:17:25	0	0	0	0.0
46	2018-07-21 17:17:28	0	0	0	0.0
45	2018-07-21 17:17:30	0	3	4	3.5
44	2018-07-21 17:17:33	0	3	4	3.5
43	2018-07-21 17:17:36	0	3	4	3.5
42	2018-07-21 17:17:39	0	3	4	3.5
41	2018-07-21 17:17:41	0	3	4	3.5
40	2018-07-21 17:17:44	0	3	4	3.5
39	2018-07-21 17:17:47	0	3	4	3.5
38	2018-07-21 17:17:50	0	3	4	3.5
37	2018-07-21 17:17:53	0	4	1	2.5
36	2018-07-21 17:17:55	0	4	0	2.0
35	2018-07-21 17:17:58	0	4	0	2.0
34	2018-07-21 17:18:01	0	3	4	3.5
33	2018-07-21 17:18:04	0	3	4	3.5
32	2018-07-21 17:18:06	0	3	4	3.5
31	2018-07-21 17:18:09	0	3	4	3.5
30	2018-07-21 17:18:12	0	3	4	3.5
29	2018-07-21 17:18:15	0	3	4	3.5
28	2018-07-21 17:18:17	0	3	4	3.5
27	2018-07-21 17:18:20	0	3	4	3.5
26	2018-07-21 17:18:23	0	3	4	3.5
25	2018-07-21 17:18:26	0	3	4	3.5
24	2018-07-21 17:18:28	0	3	4	3.5
23	2018-07-21 17:18:31	0	3	4	3.5
22	2018-07-21 17:18:34	0	3	4	3.5
21	2018-07-21 17:18:37	0	3	4	3.5
20	2018-07-21 17:18:40	0	3	4	3.5
19	2018-07-21 17:18:42	0	3	4	3.5
18	2018-07-21 17:18:45	0	3	4	3.5
17	2018-07-21 17:18:48	0	3	4	3.5
16	2018-07-21 17:18:50	0	3	4	3.5
15	2018-07-21 17:18:53	0	3	4	3.5
14	2018-07-21 17:18:56	0	3	4	3.5
13	2018-07-21 17:18:59	0	3	4	3.5
12	2018-07-21 17:19:02	0	3	4	3.5
11	2018-07-21 17:19:04	0	3	4	3.5
10	2018-07-21 17:19:07	0	3	4	3.5
9	2018-07-21 17:19:10	0	3	4	3.5
8	2018-07-21 17:19:13	0	3	4	3.5
7	2018-07-21 17:19:15	0	0	4	2.0
6	2018-07-21 17:19:18	0	3	4	3.5
5	2018-07-21 17:19:21	0	3	4	3.5
4	2018-07-21 17:19:24	0	3	4	3.5
3	2018-07-21 17:19:26	0	3	4	3.5
2	2018-07-21 17:19:29	0	3	4	3.5
1	2018-07-21 17:19:32	0	3	4	3.5
0	2018-07-21 17:19:35	0	3	4	3.5
