	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 14:40:54	4	4	2	3.0
120	2018-07-21 14:40:53	4	4	4	4.0
119	2018-07-21 14:40:52	4	4	2	3.0
118	2018-07-21 14:40:52	4	4	4	4.0
117	2018-07-21 14:40:51	4	2	2	2.0
116	2018-07-21 14:40:51	4	4	1	2.5
115	2018-07-21 14:40:50	4	0	1	0.5
114	2018-07-21 14:40:50	4	4	2	3.0
113	2018-07-21 14:40:49	4	4	2	3.0
112	2018-07-21 14:40:49	4	4	1	2.5
111	2018-07-21 14:40:48	4	4	1	2.5
110	2018-07-21 14:40:47	4	2	1	1.5
109	2018-07-21 14:40:47	4	4	2	3.0
108	2018-07-21 14:40:46	4	4	2	3.0
107	2018-07-21 14:40:46	4	4	2	3.0
106	2018-07-21 14:40:45	4	4	2	3.0
105	2018-07-21 14:40:45	4	0	0	0.0
104	2018-07-21 14:40:44	4	4	2	3.0
103	2018-07-21 14:40:44	4	4	2	3.0
102	2018-07-21 14:40:43	4	2	4	3.0
101	2018-07-21 14:40:43	4	4	2	3.0
100	2018-07-21 14:40:42	4	4	1	2.5
99	2018-07-21 14:40:41	4	4	4	4.0
98	2018-07-21 14:40:41	4	2	1	1.5
97	2018-07-21 14:40:40	4	4	1	2.5
96	2018-07-21 14:40:40	4	4	4	4.0
95	2018-07-21 14:40:39	4	2	4	3.0
94	2018-07-21 14:40:39	4	4	2	3.0
93	2018-07-21 14:40:38	4	2	2	2.0
92	2018-07-21 14:40:37	4	4	1	2.5
91	2018-07-21 14:40:37	4	4	4	4.0
90	2018-07-21 14:40:36	4	4	2	3.0
89	2018-07-21 14:40:36	4	4	1	2.5
88	2018-07-21 14:40:35	4	4	2	3.0
87	2018-07-21 14:40:35	4	2	1	1.5
86	2018-07-21 14:40:34	4	4	4	4.0
85	2018-07-21 14:40:34	4	4	4	4.0
84	2018-07-21 14:40:33	4	2	1	1.5
83	2018-07-21 14:40:32	4	4	4	4.0
82	2018-07-21 14:40:32	4	4	1	2.5
81	2018-07-21 14:40:31	4	4	2	3.0
80	2018-07-21 14:40:31	4	4	2	3.0
79	2018-07-21 14:40:30	4	4	4	4.0
78	2018-07-21 14:40:29	4	4	4	4.0
77	2018-07-21 14:40:29	4	4	4	4.0
