	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
21	2018-07-21 15:26:03	2	0	1	0.5
20	2018-07-21 15:26:02	2	3	1	2.0
19	2018-07-21 15:26:02	2	0	0	0.0
18	2018-07-21 15:26:01	2	3	1	2.0
17	2018-07-21 15:26:01	2	3	1	2.0
16	2018-07-21 15:26:00	2	3	3	3.0
15	2018-07-21 15:26:00	2	1	3	2.0
14	2018-07-21 15:25:59	2	3	3	3.0
13	2018-07-21 15:25:58	2	0	0	0.0
12	2018-07-21 15:25:58	2	3	0	1.5
11	2018-07-21 15:25:57	2	0	1	0.5
10	2018-07-21 15:25:57	2	0	1	0.5
9	2018-07-21 15:25:57	2	3	1	2.0
8	2018-07-21 15:25:58	2	3	1	2.0
7	2018-07-21 15:25:59	2	3	1	2.0
6	2018-07-21 15:25:59	2	3	3	3.0
5	2018-07-21 15:26:00	2	3	3	3.0
4	2018-07-21 15:26:00	2	0	1	0.5
3	2018-07-21 15:26:01	2	3	3	3.0
2	2018-07-21 15:26:02	2	3	3	3.0
1	2018-07-21 15:26:02	2	3	1	2.0
0	2018-07-21 15:26:03	2	3	4	3.5
