	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:24:33	0	3	4	3.5
100	2018-07-21 17:24:31	0	3	4	3.5
99	2018-07-21 17:24:28	0	3	4	3.5
98	2018-07-21 17:24:25	0	3	4	3.5
97	2018-07-21 17:24:22	0	3	4	3.5
96	2018-07-21 17:24:20	0	3	4	3.5
95	2018-07-21 17:24:17	0	3	4	3.5
94	2018-07-21 17:24:14	0	3	4	3.5
93	2018-07-21 17:24:11	0	3	4	3.5
92	2018-07-21 17:24:09	0	3	4	3.5
91	2018-07-21 17:24:06	0	3	4	3.5
90	2018-07-21 17:24:03	0	3	4	3.5
89	2018-07-21 17:24:01	0	3	4	3.5
88	2018-07-21 17:23:58	0	3	4	3.5
87	2018-07-21 17:23:55	0	3	4	3.5
86	2018-07-21 17:23:52	0	3	4	3.5
85	2018-07-21 17:23:50	0	3	4	3.5
84	2018-07-21 17:23:47	0	3	4	3.5
83	2018-07-21 17:23:44	0	3	3	3.0
82	2018-07-21 17:23:42	0	3	4	3.5
81	2018-07-21 17:23:39	0	3	4	3.5
80	2018-07-21 17:23:36	0	3	4	3.5
79	2018-07-21 17:23:33	0	3	4	3.5
78	2018-07-21 17:23:31	0	3	4	3.5
77	2018-07-21 17:23:28	0	3	4	3.5
76	2018-07-21 17:23:25	0	3	4	3.5
75	2018-07-21 17:23:22	0	3	4	3.5
74	2018-07-21 17:23:20	0	3	4	3.5
73	2018-07-21 17:23:17	0	3	4	3.5
72	2018-07-21 17:23:14	0	3	4	3.5
71	2018-07-21 17:23:12	0	3	4	3.5
70	2018-07-21 17:23:09	0	3	4	3.5
69	2018-07-21 17:23:06	0	3	4	3.5
68	2018-07-21 17:23:03	0	3	4	3.5
67	2018-07-21 17:23:01	0	3	4	3.5
66	2018-07-21 17:22:58	0	3	4	3.5
65	2018-07-21 17:22:55	0	3	4	3.5
64	2018-07-21 17:22:52	0	3	4	3.5
63	2018-07-21 17:22:50	0	3	4	3.5
62	2018-07-21 17:22:47	0	3	4	3.5
61	2018-07-21 17:22:44	0	3	4	3.5
60	2018-07-21 17:22:42	0	3	4	3.5
59	2018-07-21 17:22:39	0	3	4	3.5
58	2018-07-21 17:22:36	0	3	3	3.0
57	2018-07-21 17:22:33	0	3	4	3.5
56	2018-07-21 17:22:31	0	3	4	3.5
55	2018-07-21 17:22:28	0	0	0	0.0
54	2018-07-21 17:22:25	0	0	1	0.5
53	2018-07-21 17:22:23	0	0	0	0.0
52	2018-07-21 17:22:21	0	0	0	0.0
51	2018-07-21 17:22:18	0	0	0	0.0
50	2018-07-21 17:22:17	0	0	1	0.5
49	2018-07-21 17:22:19	0	3	4	3.5
48	2018-07-21 17:22:22	0	3	4	3.5
47	2018-07-21 17:22:24	0	0	1	0.5
46	2018-07-21 17:22:27	0	0	1	0.5
45	2018-07-21 17:22:29	0	3	4	3.5
44	2018-07-21 17:22:32	0	3	4	3.5
43	2018-07-21 17:22:35	0	3	4	3.5
42	2018-07-21 17:22:37	0	3	4	3.5
41	2018-07-21 17:22:40	0	3	4	3.5
40	2018-07-21 17:22:43	0	3	4	3.5
39	2018-07-21 17:22:46	0	3	4	3.5
38	2018-07-21 17:22:48	0	3	4	3.5
37	2018-07-21 17:22:51	0	3	4	3.5
36	2018-07-21 17:22:54	0	3	4	3.5
35	2018-07-21 17:22:57	0	3	4	3.5
34	2018-07-21 17:22:59	0	3	3	3.0
33	2018-07-21 17:23:02	0	3	4	3.5
32	2018-07-21 17:23:05	0	3	4	3.5
31	2018-07-21 17:23:07	0	3	4	3.5
30	2018-07-21 17:23:10	0	3	4	3.5
29	2018-07-21 17:23:13	0	3	4	3.5
28	2018-07-21 17:23:16	0	3	4	3.5
27	2018-07-21 17:23:18	0	3	4	3.5
26	2018-07-21 17:23:21	0	3	4	3.5
25	2018-07-21 17:23:24	0	3	4	3.5
24	2018-07-21 17:23:27	0	3	4	3.5
23	2018-07-21 17:23:29	0	3	4	3.5
22	2018-07-21 17:23:32	0	3	3	3.0
21	2018-07-21 17:23:35	0	3	4	3.5
20	2018-07-21 17:23:37	0	3	4	3.5
19	2018-07-21 17:23:40	0	3	4	3.5
18	2018-07-21 17:23:43	0	3	4	3.5
17	2018-07-21 17:23:46	0	3	3	3.0
16	2018-07-21 17:23:48	0	3	4	3.5
15	2018-07-21 17:23:51	0	3	4	3.5
14	2018-07-21 17:23:54	0	3	4	3.5
13	2018-07-21 17:23:57	0	3	4	3.5
12	2018-07-21 17:23:59	0	3	3	3.0
11	2018-07-21 17:24:02	0	3	4	3.5
10	2018-07-21 17:24:05	0	3	4	3.5
9	2018-07-21 17:24:07	0	3	4	3.5
8	2018-07-21 17:24:10	0	3	4	3.5
7	2018-07-21 17:24:13	0	3	4	3.5
6	2018-07-21 17:24:16	0	3	4	3.5
5	2018-07-21 17:24:18	0	3	4	3.5
4	2018-07-21 17:24:21	0	3	4	3.5
3	2018-07-21 17:24:24	0	3	4	3.5
2	2018-07-21 17:24:27	0	3	4	3.5
1	2018-07-21 17:24:29	0	3	4	3.5
0	2018-07-21 17:24:32	0	3	4	3.5
