	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:05:25	2	3	4	3.5
100	2018-07-21 17:05:22	2	3	0	1.5
99	2018-07-21 17:05:19	2	3	4	3.5
98	2018-07-21 17:05:17	2	3	4	3.5
97	2018-07-21 17:05:14	2	3	4	3.5
96	2018-07-21 17:05:11	2	0	1	0.5
95	2018-07-21 17:05:08	2	0	1	0.5
94	2018-07-21 17:05:06	2	3	4	3.5
93	2018-07-21 17:05:03	2	3	4	3.5
92	2018-07-21 17:05:00	2	3	4	3.5
91	2018-07-21 17:04:57	2	3	4	3.5
90	2018-07-21 17:04:55	2	3	4	3.5
89	2018-07-21 17:04:52	2	3	4	3.5
88	2018-07-21 17:04:49	2	3	4	3.5
87	2018-07-21 17:04:46	2	3	4	3.5
86	2018-07-21 17:04:43	2	3	4	3.5
85	2018-07-21 17:04:41	2	4	3	3.5
84	2018-07-21 17:04:38	2	3	4	3.5
83	2018-07-21 17:04:35	2	3	3	3.0
82	2018-07-21 17:04:32	2	3	3	3.0
81	2018-07-21 17:04:30	2	3	4	3.5
80	2018-07-21 17:04:27	2	3	4	3.5
79	2018-07-21 17:04:24	2	3	3	3.0
78	2018-07-21 17:04:21	2	3	4	3.5
77	2018-07-21 17:04:18	2	3	4	3.5
76	2018-07-21 17:04:16	2	3	4	3.5
75	2018-07-21 17:04:13	2	3	4	3.5
74	2018-07-21 17:04:10	2	4	4	4.0
73	2018-07-21 17:04:07	2	3	4	3.5
72	2018-07-21 17:04:04	2	3	4	3.5
71	2018-07-21 17:04:02	2	3	4	3.5
70	2018-07-21 17:03:59	2	3	4	3.5
69	2018-07-21 17:03:56	2	3	4	3.5
68	2018-07-21 17:03:53	2	3	4	3.5
67	2018-07-21 17:03:50	2	3	4	3.5
66	2018-07-21 17:03:48	2	3	4	3.5
65	2018-07-21 17:03:45	2	3	4	3.5
64	2018-07-21 17:03:42	2	3	4	3.5
63	2018-07-21 17:03:39	2	3	3	3.0
62	2018-07-21 17:03:36	2	3	4	3.5
61	2018-07-21 17:03:34	2	3	3	3.0
60	2018-07-21 17:03:31	2	3	4	3.5
59	2018-07-21 17:03:28	2	3	4	3.5
58	2018-07-21 17:03:25	2	3	4	3.5
57	2018-07-21 17:03:23	2	3	3	3.0
56	2018-07-21 17:03:20	2	3	3	3.0
55	2018-07-21 17:03:17	2	0	0	0.0
54	2018-07-21 17:03:14	2	3	3	3.0
53	2018-07-21 17:03:12	2	3	3	3.0
52	2018-07-21 17:03:09	2	3	3	3.0
51	2018-07-21 17:03:07	2	0	0	0.0
50	2018-07-21 17:03:05	2	0	1	0.5
49	2018-07-21 17:03:08	2	0	0	0.0
48	2018-07-21 17:03:10	2	0	1	0.5
47	2018-07-21 17:03:13	2	0	0	0.0
46	2018-07-21 17:03:16	2	3	3	3.0
45	2018-07-21 17:03:18	2	3	1	2.0
44	2018-07-21 17:03:21	2	3	4	3.5
43	2018-07-21 17:03:24	2	3	4	3.5
42	2018-07-21 17:03:27	2	3	3	3.0
41	2018-07-21 17:03:30	2	3	4	3.5
40	2018-07-21 17:03:32	2	3	3	3.0
39	2018-07-21 17:03:35	2	3	4	3.5
38	2018-07-21 17:03:38	2	3	4	3.5
37	2018-07-21 17:03:41	2	3	4	3.5
36	2018-07-21 17:03:43	2	3	4	3.5
35	2018-07-21 17:03:46	2	3	4	3.5
34	2018-07-21 17:03:49	2	3	4	3.5
33	2018-07-21 17:03:52	2	3	4	3.5
32	2018-07-21 17:03:55	2	3	4	3.5
31	2018-07-21 17:03:57	2	3	4	3.5
30	2018-07-21 17:04:00	2	3	4	3.5
29	2018-07-21 17:04:03	2	3	4	3.5
28	2018-07-21 17:04:06	2	3	4	3.5
27	2018-07-21 17:04:09	2	3	4	3.5
26	2018-07-21 17:04:11	2	3	4	3.5
25	2018-07-21 17:04:14	2	3	4	3.5
24	2018-07-21 17:04:17	2	3	4	3.5
23	2018-07-21 17:04:20	2	3	4	3.5
22	2018-07-21 17:04:23	2	3	4	3.5
21	2018-07-21 17:04:25	2	3	4	3.5
20	2018-07-21 17:04:28	2	3	4	3.5
19	2018-07-21 17:04:31	2	3	4	3.5
18	2018-07-21 17:04:34	2	3	4	3.5
17	2018-07-21 17:04:37	2	3	3	3.0
16	2018-07-21 17:04:39	2	3	4	3.5
15	2018-07-21 17:04:42	2	3	4	3.5
14	2018-07-21 17:04:45	2	3	4	3.5
13	2018-07-21 17:04:48	2	3	4	3.5
12	2018-07-21 17:04:50	2	3	4	3.5
11	2018-07-21 17:04:53	2	3	4	3.5
10	2018-07-21 17:04:56	2	3	4	3.5
9	2018-07-21 17:04:59	2	3	4	3.5
8	2018-07-21 17:05:02	2	3	4	3.5
7	2018-07-21 17:05:04	2	3	4	3.5
6	2018-07-21 17:05:07	2	3	4	3.5
5	2018-07-21 17:05:10	2	3	4	3.5
4	2018-07-21 17:05:12	2	3	4	3.5
3	2018-07-21 17:05:15	2	4	3	3.5
2	2018-07-21 17:05:18	2	3	4	3.5
1	2018-07-21 17:05:21	2	3	3	3.0
0	2018-07-21 17:05:24	2	3	4	3.5
