	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
120	2018-07-21 15:28:14	1	2	4	3.0
119	2018-07-21 15:28:13	1	4	4	4.0
118	2018-07-21 15:28:13	1	3	4	3.5
117	2018-07-21 15:28:12	1	4	4	4.0
116	2018-07-21 15:28:11	1	3	4	3.5
115	2018-07-21 15:28:11	1	4	4	4.0
114	2018-07-21 15:28:10	1	0	0	0.0
113	2018-07-21 15:28:10	1	3	4	3.5
112	2018-07-21 15:28:09	1	4	2	3.0
111	2018-07-21 15:28:08	1	3	4	3.5
110	2018-07-21 15:28:08	1	4	4	4.0
109	2018-07-21 15:28:07	1	3	4	3.5
108	2018-07-21 15:28:07	1	4	1	2.5
107	2018-07-21 15:28:06	1	4	2	3.0
106	2018-07-21 15:28:05	1	0	3	1.5
105	2018-07-21 15:28:05	1	4	4	4.0
104	2018-07-21 15:28:04	1	4	4	4.0
103	2018-07-21 15:28:03	1	3	4	3.5
102	2018-07-21 15:28:03	1	4	4	4.0
101	2018-07-21 15:28:02	1	3	4	3.5
100	2018-07-21 15:28:02	1	4	4	4.0
99	2018-07-21 15:28:01	1	3	3	3.0
98	2018-07-21 15:28:00	1	3	4	3.5
97	2018-07-21 15:28:00	1	3	4	3.5
96	2018-07-21 15:27:59	1	1	4	2.5
95	2018-07-21 15:27:59	1	3	1	2.0
94	2018-07-21 15:27:58	1	2	4	3.0
93	2018-07-21 15:27:58	1	4	4	4.0
92	2018-07-21 15:27:57	1	3	4	3.5
91	2018-07-21 15:27:56	1	3	4	3.5
90	2018-07-21 15:27:56	1	4	4	4.0
89	2018-07-21 15:27:55	1	3	4	3.5
88	2018-07-21 15:27:54	1	3	4	3.5
87	2018-07-21 15:27:54	1	3	4	3.5
86	2018-07-21 15:27:53	1	2	4	3.0
85	2018-07-21 15:27:53	1	2	4	3.0
84	2018-07-21 15:27:52	1	2	4	3.0
83	2018-07-21 15:27:51	1	3	4	3.5
82	2018-07-21 15:27:51	1	3	4	3.5
81	2018-07-21 15:27:50	1	1	4	2.5
80	2018-07-21 15:27:49	1	4	2	3.0
79	2018-07-21 15:27:48	1	0	4	2.0
78	2018-07-21 15:27:47	1	2	4	3.0
77	2018-07-21 15:27:47	1	0	3	1.5
76	2018-07-21 15:27:46	1	2	4	3.0
75	2018-07-21 15:27:46	1	2	4	3.0
74	2018-07-21 15:27:45	1	3	4	3.5
73	2018-07-21 15:27:44	1	3	2	2.5
72	2018-07-21 15:27:44	1	3	4	3.5
71	2018-07-21 15:27:43	1	3	4	3.5
70	2018-07-21 15:27:43	1	3	4	3.5
69	2018-07-21 15:27:42	1	0	0	0.0
68	2018-07-21 15:27:41	1	3	4	3.5
67	2018-07-21 15:27:41	1	3	1	2.0
66	2018-07-21 15:27:40	1	3	4	3.5
65	2018-07-21 15:27:40	1	0	4	2.0
64	2018-07-21 15:27:39	1	4	2	3.0
63	2018-07-21 15:27:38	1	3	4	3.5
62	2018-07-21 15:27:38	1	3	4	3.5
61	2018-07-21 15:27:37	1	4	4	4.0
60	2018-07-21 15:27:37	1	3	4	3.5
59	2018-07-21 15:27:37	1	4	4	4.0
58	2018-07-21 15:27:38	1	3	4	3.5
57	2018-07-21 15:27:38	1	2	4	3.0
56	2018-07-21 15:27:39	1	4	4	4.0
55	2018-07-21 15:27:39	1	3	4	3.5
54	2018-07-21 15:27:40	1	3	4	3.5
53	2018-07-21 15:27:40	1	0	1	0.5
52	2018-07-21 15:27:41	1	4	1	2.5
51	2018-07-21 15:27:42	1	3	4	3.5
50	2018-07-21 15:27:42	1	3	4	3.5
49	2018-07-21 15:27:43	1	3	4	3.5
48	2018-07-21 15:27:43	1	3	4	3.5
47	2018-07-21 15:27:44	1	3	4	3.5
46	2018-07-21 15:27:45	1	4	4	4.0
45	2018-07-21 15:27:45	1	3	2	2.5
44	2018-07-21 15:27:46	1	3	4	3.5
43	2018-07-21 15:27:46	1	0	3	1.5
42	2018-07-21 15:27:47	1	4	2	3.0
41	2018-07-21 15:27:48	1	3	1	2.0
40	2018-07-21 15:27:49	1	4	2	3.0
39	2018-07-21 15:27:50	1	3	4	3.5
38	2018-07-21 15:27:50	1	4	2	3.0
37	2018-07-21 15:27:51	1	4	4	4.0
36	2018-07-21 15:27:52	1	3	2	2.5
35	2018-07-21 15:27:52	1	4	4	4.0
34	2018-07-21 15:27:53	1	3	4	3.5
33	2018-07-21 15:27:54	1	3	4	3.5
32	2018-07-21 15:27:54	1	0	1	0.5
31	2018-07-21 15:27:55	1	2	4	3.0
30	2018-07-21 15:27:55	1	3	4	3.5
29	2018-07-21 15:27:56	1	3	4	3.5
28	2018-07-21 15:27:57	1	4	4	4.0
27	2018-07-21 15:27:57	1	4	4	4.0
26	2018-07-21 15:27:58	1	0	4	2.0
25	2018-07-21 15:27:58	1	0	3	1.5
24	2018-07-21 15:27:59	1	4	2	3.0
23	2018-07-21 15:28:00	1	3	4	3.5
22	2018-07-21 15:28:00	1	4	2	3.0
21	2018-07-21 15:28:01	1	4	4	4.0
20	2018-07-21 15:28:01	1	4	1	2.5
19	2018-07-21 15:28:02	1	3	4	3.5
18	2018-07-21 15:28:02	1	0	1	0.5
17	2018-07-21 15:28:03	1	3	4	3.5
16	2018-07-21 15:28:04	1	3	4	3.5
15	2018-07-21 15:28:04	1	3	4	3.5
14	2018-07-21 15:28:05	1	3	1	2.0
13	2018-07-21 15:28:06	1	3	4	3.5
12	2018-07-21 15:28:06	1	3	1	2.0
11	2018-07-21 15:28:07	1	2	4	3.0
10	2018-07-21 15:28:07	1	3	4	3.5
9	2018-07-21 15:28:08	1	2	4	3.0
8	2018-07-21 15:28:09	1	3	4	3.5
7	2018-07-21 15:28:09	1	4	2	3.0
6	2018-07-21 15:28:10	1	2	4	3.0
5	2018-07-21 15:28:10	1	3	2	2.5
4	2018-07-21 15:28:11	1	2	4	3.0
3	2018-07-21 15:28:12	1	4	4	4.0
2	2018-07-21 15:28:12	1	2	4	3.0
1	2018-07-21 15:28:13	1	3	1	2.0
0	2018-07-21 15:28:13	1	3	4	3.5
