	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
101	2018-07-21 17:08:14	1	3	1	2.0
100	2018-07-21 17:08:11	1	3	1	2.0
99	2018-07-21 17:08:08	1	3	4	3.5
98	2018-07-21 17:08:05	1	3	4	3.5
97	2018-07-21 17:08:02	1	3	4	3.5
96	2018-07-21 17:08:00	1	3	4	3.5
95	2018-07-21 17:07:57	1	3	4	3.5
94	2018-07-21 17:07:54	1	3	4	3.5
93	2018-07-21 17:07:51	1	3	4	3.5
92	2018-07-21 17:07:48	1	3	4	3.5
91	2018-07-21 17:07:46	1	3	4	3.5
90	2018-07-21 17:07:43	1	3	4	3.5
89	2018-07-21 17:07:40	1	3	4	3.5
88	2018-07-21 17:07:37	1	3	4	3.5
87	2018-07-21 17:07:34	1	3	4	3.5
86	2018-07-21 17:07:32	1	3	4	3.5
85	2018-07-21 17:07:29	1	3	1	2.0
84	2018-07-21 17:07:26	1	3	4	3.5
83	2018-07-21 17:07:23	1	3	1	2.0
82	2018-07-21 17:07:21	1	3	1	2.0
81	2018-07-21 17:07:18	1	3	1	2.0
80	2018-07-21 17:07:15	1	3	1	2.0
79	2018-07-21 17:07:12	1	3	4	3.5
78	2018-07-21 17:07:10	1	3	4	3.5
77	2018-07-21 17:07:07	1	3	4	3.5
76	2018-07-21 17:07:04	1	3	4	3.5
75	2018-07-21 17:07:01	1	3	1	2.0
74	2018-07-21 17:06:58	1	3	4	3.5
73	2018-07-21 17:06:56	1	3	4	3.5
72	2018-07-21 17:06:53	1	3	1	2.0
71	2018-07-21 17:06:50	1	3	1	2.0
70	2018-07-21 17:06:47	1	3	1	2.0
69	2018-07-21 17:06:45	1	3	4	3.5
68	2018-07-21 17:06:42	1	3	4	3.5
67	2018-07-21 17:06:39	1	3	4	3.5
66	2018-07-21 17:06:36	1	3	4	3.5
65	2018-07-21 17:06:34	1	3	4	3.5
64	2018-07-21 17:06:31	1	3	4	3.5
63	2018-07-21 17:06:28	1	3	1	2.0
62	2018-07-21 17:06:25	1	3	4	3.5
61	2018-07-21 17:06:22	1	3	4	3.5
60	2018-07-21 17:06:20	1	3	4	3.5
59	2018-07-21 17:06:17	1	3	4	3.5
58	2018-07-21 17:06:14	1	3	4	3.5
57	2018-07-21 17:06:11	1	0	2	1.0
56	2018-07-21 17:06:09	1	3	4	3.5
55	2018-07-21 17:06:06	1	0	0	0.0
54	2018-07-21 17:06:03	1	3	4	3.5
53	2018-07-21 17:06:01	1	0	0	0.0
52	2018-07-21 17:05:58	1	0	0	0.0
51	2018-07-21 17:05:56	1	3	4	3.5
50	2018-07-21 17:05:54	1	3	4	3.5
49	2018-07-21 17:05:57	1	0	1	0.5
48	2018-07-21 17:05:59	1	3	4	3.5
47	2018-07-21 17:06:02	1	3	4	3.5
46	2018-07-21 17:06:05	1	3	4	3.5
45	2018-07-21 17:06:07	1	3	4	3.5
44	2018-07-21 17:06:10	1	3	4	3.5
43	2018-07-21 17:06:13	1	3	4	3.5
42	2018-07-21 17:06:15	1	3	4	3.5
41	2018-07-21 17:06:18	1	3	4	3.5
40	2018-07-21 17:06:21	1	3	4	3.5
39	2018-07-21 17:06:24	1	3	4	3.5
38	2018-07-21 17:06:27	1	3	4	3.5
37	2018-07-21 17:06:29	1	3	1	2.0
36	2018-07-21 17:06:32	1	3	4	3.5
35	2018-07-21 17:06:35	1	3	1	2.0
34	2018-07-21 17:06:38	1	3	4	3.5
33	2018-07-21 17:06:40	1	3	1	2.0
32	2018-07-21 17:06:43	1	3	1	2.0
31	2018-07-21 17:06:46	1	3	1	2.0
30	2018-07-21 17:06:49	1	3	1	2.0
29	2018-07-21 17:06:52	1	3	4	3.5
28	2018-07-21 17:06:54	1	3	4	3.5
27	2018-07-21 17:06:57	1	3	1	2.0
26	2018-07-21 17:07:00	1	3	3	3.0
25	2018-07-21 17:07:03	1	3	4	3.5
24	2018-07-21 17:07:05	1	3	4	3.5
23	2018-07-21 17:07:08	1	3	1	2.0
22	2018-07-21 17:07:11	1	3	1	2.0
21	2018-07-21 17:07:14	1	3	1	2.0
20	2018-07-21 17:07:16	1	3	1	2.0
19	2018-07-21 17:07:19	1	3	1	2.0
18	2018-07-21 17:07:22	1	3	1	2.0
17	2018-07-21 17:07:25	1	3	1	2.0
16	2018-07-21 17:07:28	1	3	1	2.0
15	2018-07-21 17:07:30	1	3	4	3.5
14	2018-07-21 17:07:33	1	3	3	3.0
13	2018-07-21 17:07:36	1	3	4	3.5
12	2018-07-21 17:07:39	1	3	4	3.5
11	2018-07-21 17:07:41	1	3	4	3.5
10	2018-07-21 17:07:44	1	3	4	3.5
9	2018-07-21 17:07:47	1	3	4	3.5
8	2018-07-21 17:07:50	1	3	4	3.5
7	2018-07-21 17:07:53	1	3	4	3.5
6	2018-07-21 17:07:55	1	3	4	3.5
5	2018-07-21 17:07:58	1	3	4	3.5
4	2018-07-21 17:08:01	1	3	4	3.5
3	2018-07-21 17:08:04	1	3	4	3.5
2	2018-07-21 17:08:07	1	3	4	3.5
1	2018-07-21 17:08:10	1	3	4	3.5
0	2018-07-21 17:08:12	1	3	4	3.5
