	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
75	2018-07-21 17:11:39	3	3	1	2.0
74	2018-07-21 17:11:42	3	3	1	2.0
73	2018-07-21 17:11:45	3	3	1	2.0
72	2018-07-21 17:11:48	3	3	1	2.0
71	2018-07-21 17:11:51	3	3	0	1.5
70	2018-07-21 17:11:53	3	3	1	2.0
69	2018-07-21 17:11:56	3	3	1	2.0
68	2018-07-21 17:11:59	3	3	1	2.0
67	2018-07-21 17:12:02	3	3	1	2.0
66	2018-07-21 17:12:05	3	3	1	2.0
65	2018-07-21 17:12:07	3	3	1	2.0
64	2018-07-21 17:12:10	3	3	1	2.0
63	2018-07-21 17:12:13	3	3	3	3.0
62	2018-07-21 17:12:16	3	3	1	2.0
61	2018-07-21 17:12:19	3	3	1	2.0
60	2018-07-21 17:12:21	3	3	1	2.0
59	2018-07-21 17:12:24	3	3	3	3.0
58	2018-07-21 17:12:27	3	3	3	3.0
57	2018-07-21 17:12:30	3	3	1	2.0
56	2018-07-21 17:12:33	3	3	1	2.0
55	2018-07-21 17:12:35	3	3	4	3.5
54	2018-07-21 17:12:38	3	3	4	3.5
53	2018-07-21 17:12:41	3	3	1	2.0
52	2018-07-21 17:12:44	3	3	1	2.0
51	2018-07-21 17:12:46	3	3	1	2.0
50	2018-07-21 17:12:49	3	3	3	3.0
49	2018-07-21 17:12:52	3	3	4	3.5
48	2018-07-21 17:12:55	3	3	3	3.0
47	2018-07-21 17:12:58	3	3	4	3.5
46	2018-07-21 17:13:00	3	3	1	2.0
45	2018-07-21 17:13:03	3	3	4	3.5
44	2018-07-21 17:13:06	3	3	4	3.5
43	2018-07-21 17:13:09	3	3	3	3.0
42	2018-07-21 17:13:11	3	3	3	3.0
41	2018-07-21 17:13:14	3	3	1	2.0
40	2018-07-21 17:13:17	3	3	1	2.0
39	2018-07-21 17:13:20	3	3	4	3.5
38	2018-07-21 17:13:23	3	3	4	3.5
37	2018-07-21 17:13:25	3	3	3	3.0
36	2018-07-21 17:13:28	3	3	4	3.5
35	2018-07-21 17:13:31	3	3	3	3.0
34	2018-07-21 17:13:34	3	3	1	2.0
33	2018-07-21 17:13:37	3	3	1	2.0
32	2018-07-21 17:13:39	3	3	1	2.0
31	2018-07-21 17:13:42	3	3	4	3.5
30	2018-07-21 17:13:45	3	3	1	2.0
29	2018-07-21 17:13:48	3	3	1	2.0
28	2018-07-21 17:13:51	3	3	1	2.0
27	2018-07-21 17:13:53	3	3	1	2.0
26	2018-07-21 17:13:56	3	3	4	3.5
25	2018-07-21 17:13:59	3	3	1	2.0
24	2018-07-21 17:14:02	3	3	1	2.0
23	2018-07-21 17:14:05	3	3	3	3.0
22	2018-07-21 17:14:08	3	4	4	4.0
21	2018-07-21 17:14:10	3	3	4	3.5
20	2018-07-21 17:14:13	3	3	1	2.0
19	2018-07-21 17:14:16	3	3	3	3.0
18	2018-07-21 17:14:19	3	3	4	3.5
17	2018-07-21 17:14:22	3	3	4	3.5
16	2018-07-21 17:14:25	3	3	4	3.5
15	2018-07-21 17:14:27	3	3	1	2.0
14	2018-07-21 17:14:30	3	3	4	3.5
13	2018-07-21 17:14:33	3	3	1	2.0
12	2018-07-21 17:14:36	3	3	4	3.5
11	2018-07-21 17:14:39	3	3	4	3.5
10	2018-07-21 17:14:41	3	3	1	2.0
9	2018-07-21 17:14:44	3	3	1	2.0
8	2018-07-21 17:14:47	3	3	1	2.0
7	2018-07-21 17:14:50	3	3	1	2.0
6	2018-07-21 17:14:53	3	3	1	2.0
5	2018-07-21 17:14:56	3	3	4	3.5
4	2018-07-21 17:14:58	3	3	4	3.5
3	2018-07-21 17:15:01	3	3	4	3.5
2	2018-07-21 17:15:04	3	3	1	2.0
1	2018-07-21 17:15:07	3	3	0	1.5
0	2018-07-21 17:15:10	3	3	4	3.5
