	Timestamp	Actuallabel	Labelpredicted_S	Labelpredicted_R	Averageprediction
121	2018-07-21 15:35:25	3	3	1	2.0
120	2018-07-21 15:35:25	3	3	4	3.5
119	2018-07-21 15:35:24	3	3	4	3.5
118	2018-07-21 15:35:23	3	3	2	2.5
117	2018-07-21 15:35:23	3	0	4	2.0
116	2018-07-21 15:35:22	3	3	4	3.5
115	2018-07-21 15:35:22	3	0	0	0.0
114	2018-07-21 15:35:21	3	3	4	3.5
113	2018-07-21 15:35:21	3	1	3	2.0
112	2018-07-21 15:35:20	3	0	3	1.5
111	2018-07-21 15:35:19	3	3	4	3.5
110	2018-07-21 15:35:19	3	3	4	3.5
109	2018-07-21 15:35:18	3	3	4	3.5
108	2018-07-21 15:35:17	3	3	4	3.5
107	2018-07-21 15:35:17	3	3	2	2.5
106	2018-07-21 15:35:16	3	3	4	3.5
105	2018-07-21 15:35:16	3	3	1	2.0
104	2018-07-21 15:35:15	3	3	4	3.5
103	2018-07-21 15:35:14	3	0	4	2.0
102	2018-07-21 15:35:14	3	3	3	3.0
101	2018-07-21 15:35:13	3	3	4	3.5
100	2018-07-21 15:35:13	3	3	3	3.0
99	2018-07-21 15:35:12	3	0	3	1.5
98	2018-07-21 15:35:11	3	0	4	2.0
97	2018-07-21 15:35:11	3	3	1	2.0
96	2018-07-21 15:35:10	3	3	4	3.5
95	2018-07-21 15:35:10	3	3	4	3.5
94	2018-07-21 15:35:09	3	3	4	3.5
93	2018-07-21 15:35:09	3	0	2	1.0
92	2018-07-21 15:35:08	3	0	3	1.5
91	2018-07-21 15:35:07	3	3	4	3.5
90	2018-07-21 15:35:07	3	0	4	2.0
89	2018-07-21 15:35:06	3	3	4	3.5
88	2018-07-21 15:35:05	3	0	4	2.0
87	2018-07-21 15:35:05	3	0	2	1.0
86	2018-07-21 15:35:04	3	3	4	3.5
85	2018-07-21 15:35:04	3	3	4	3.5
84	2018-07-21 15:35:03	3	3	4	3.5
83	2018-07-21 15:35:02	3	3	4	3.5
82	2018-07-21 15:35:02	3	3	1	2.0
81	2018-07-21 15:35:01	3	3	4	3.5
80	2018-07-21 15:35:00	3	3	3	3.0
79	2018-07-21 15:35:00	3	3	4	3.5
78	2018-07-21 15:34:59	3	0	3	1.5
77	2018-07-21 15:34:59	3	3	4	3.5
76	2018-07-21 15:34:58	3	3	4	3.5
75	2018-07-21 15:34:57	3	0	4	2.0
74	2018-07-21 15:34:57	3	3	1	2.0
73	2018-07-21 15:34:56	3	3	4	3.5
72	2018-07-21 15:34:55	3	0	4	2.0
71	2018-07-21 15:34:55	3	3	4	3.5
70	2018-07-21 15:34:54	3	3	1	2.0
69	2018-07-21 15:34:54	3	3	4	3.5
68	2018-07-21 15:34:53	3	3	4	3.5
67	2018-07-21 15:34:52	3	3	4	3.5
66	2018-07-21 15:34:52	3	0	4	2.0
65	2018-07-21 15:34:51	3	3	4	3.5
64	2018-07-21 15:34:51	3	1	3	2.0
63	2018-07-21 15:34:50	3	3	4	3.5
62	2018-07-21 15:34:49	3	0	3	1.5
61	2018-07-21 15:34:49	3	3	4	3.5
60	2018-07-21 15:34:48	3	3	4	3.5
59	2018-07-21 15:34:49	3	3	4	3.5
58	2018-07-21 15:34:50	3	3	1	2.0
57	2018-07-21 15:34:50	3	0	4	2.0
56	2018-07-21 15:34:51	3	0	4	2.0
55	2018-07-21 15:34:52	3	3	4	3.5
54	2018-07-21 15:34:52	3	0	4	2.0
53	2018-07-21 15:34:53	3	0	1	0.5
52	2018-07-21 15:34:53	3	3	4	3.5
